,id,w,k0,k1,k2_15,k2_14,k2_13,k2_12,k2_11,k2_10,k2_9,k2_8,k2_7,k2_6,k2_5,k2_4,k2_3,k2_2,k2_1,k2_0,k3_15,k3_14,k3_13,k3_12,k3_11,k3_10,k3_9,k3_8,k3_7,k3_6,k3_5,k3_4,k3_3,k3_2,k3_1,k3_0,k4_15,k4_14,k4_13,k4_12,k4_11,k4_10,k4_9,k4_8,k4_7,k4_6,k4_5,k4_4,k4_3,k4_2,k4_1,k4_0,k5_15,k5_14,k5_13,k5_12,k5_11,k5_10,k5_9,k5_8,k5_7,k5_6,k5_5,k5_4,k5_3,k5_2,k5_1,k5_0,k6_15,k6_14,k6_13,k6_12,k6_11,k6_10,k6_9,k6_8,k6_7,k6_6,k6_5,k6_4,k6_3,k6_2,k6_1,k6_0,k7_15,k7_14,k7_13,k7_12,k7_11,k7_10,k7_9,k7_8,k7_7,k7_6,k7_5,k7_4,k7_3,k7_2,k7_1,k7_0,k8,k9
4039,48_3015,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,=,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,,
4040,48_3018,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,=,-,-,-,-,-,-,-,-,-,=,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4041,48_3022,4,,,,,,,,,,,,,,,,,,,-,-,-,=,-,!,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4042,48_3025,4,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,!,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,c2000043,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4043,48_3026,4,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,=,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4044,48_3028,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4045,48_3029,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4046,48_3031,4,,,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4047,48_3032,4,,,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4048,48_3033,4,,,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4049,48_3034,4,,,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4050,48_3035,4,,,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,-,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4051,48_3038,4,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,=,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4052,48_3039,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,=,-,-,!,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,,
4053,48_3043,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,=,-,-,-,-,,,,,,,,,,,,,,,,,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,,
4054,48_3044,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,-,-,-,-,-,-,=,=,-,-,-,-,-,-,-,-,,
4055,48_3047,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,=,-,-,-,-,-,-,-,-,-,-,-,-,-,!,-,-,!,-,-,-,-,-,-,430000c2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,=,-,,,,,,,,,,,,,,,,,,
4056,48_3049,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,=,-,-,-,-,-,-,-,-,-,-,-,-,-,-,430000c2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4057,48_3051,4,,,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,430000c2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4058,48_3055,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,=,-,-,-,-,-,-,-,-,-,=,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,=,=,-,-,-,-,-,-,-,-,,
4059,48_3056,4,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,=,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4060,48_3062,4,,,,,,,,,,,,,,,,,,,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,,
4061,48_3070,4,,,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,=,-,-,-,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,,
4062,48_3072,4,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4063,48_3074,4,,,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,430000c2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4064,48_3076,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,=,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,!,-,-,!,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4065,48_3079,4,,,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,-,-,41000082,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4066,48_3089,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,-,-,-,-,-,=,c2000043,-,-,-,-,-,-,-,-,-,,
4067,48_3093,4,,,,,,,,,,,,,,,,,,,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4068,48_3094,4,,,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,=,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4069,48_3095,4,,,-,-,-,-,-,=,=,-,-,-,-,-,-,-,-,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4070,48_3096,4,,,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4071,48_3097,4,,,,,,,,,,,,,,,,,,,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,=,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,,
4072,48_3100,4,,,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,-,-,-,-,430000c2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,,
4073,48_3101,4,,,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,-,-,-,-,430000c2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,=,=,-,-,-,-,-,-,-,-,,
4074,48_3102,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,=,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41000082,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,,
4075,48_3103,4,,,,,,,,,,,,,,,,,,,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,82000041,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,=,=,-,-,-,-,-,-,-,-,,
4076,48_3108,4,,,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,-,-,-,-,-,82000041,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,,
4077,48_3109,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4078,48_3111,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4079,48_3112,4,,,,,,,,,,,,,,,,,,,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41000082,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,,
4080,48_3113,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,41000082,-,-,-,-,-,-,-,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,-,-,-,-,-,=,c2000043,-,-,-,-,-,-,-,-,-,,
4081,48_3115,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,=,-,-,!,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,=,=,-,-,-,-,-,-,-,-,,
4082,48_3117,4,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,=,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,=,c2000043,-,-,-,-,-,-,-,-,-,,
4083,48_3118,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,-,-,-,-,-,-,=,=,-,-,-,-,-,-,-,-,,
4084,48_3119,4,,,,,,,,,,,,,,,,,,,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,,
4085,48_3120,4,,,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4086,48_3123,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,=,-,-,-,-,-,-,-,-,-,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4087,48_3127,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,=,c2000043,-,-,-,-,-,-,-,-,-,,
4088,48_3129,4,,,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4089,48_3132,4,,,,,,,,,,,,,,,,,,,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4090,48_3135,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,,
4091,48_3136,4,,,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4092,48_3138,4,,,,,,,,,,,,,,,,,,,-,-,-,=,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,-,!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4093,48_3139,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,=,-,-,!,-,-,-,-,-,-,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,,
4094,48_3142,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,,
4095,48_3143,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,=,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,=,-,-,-,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,,
4096,48_3148,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,,
4097,48_3153,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,=,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41000082,-,-,!,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4098,48_3158,4,,,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,-,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4099,48_3160,4,,,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,-,-,-,-,-,41000082,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,=,=,-,-,-,-,-,-,-,-,,
4100,48_3161,4,,,,,,,,,,,,,,,,,,,-,-,-,-,430000c2,-,-,-,-,-,-,-,-,-,-,-,-,=,-,-,-,!,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,-,-,!,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,
4101,48_3162,4,,,,,,,,,,,,,,,,,,,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,!,-,-,-,-,-,=,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,,
4102,48_3165,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,=,-,-,82000041,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,=,=,-,-,-,-,-,-,-,-,-,,
4103,48_3170,4,,,,,,,,,,,,,,,,,,,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,=,=,-,-,-,-,-,-,-,-,,
4104,48_3171,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,=,-,-,-,!,-,-,-,-,-,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4105,48_3172,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,=,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,=,=,-,-,-,-,-,-,-,-,,
4106,48_3174,4,,,,,,,,,,,,,,,,,,,-,-,-,=,-,!,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,-,!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4107,48_3177,4,,,,,,,,,,,,,,,,,,,-,-,-,=,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4108,48_3179,4,,,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,-,-,-,-,430000c2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41000082,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,=,c2000043,-,-,-,-,-,-,-,-,-,,
4109,48_3180,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,=,c2000043,-,-,-,-,-,-,-,-,-,,
4110,48_3181,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,!,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,=,=,-,-,-,-,-,-,-,-,,
4111,48_3185,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,,
4112,48_3186,4,,,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,=,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4113,48_3187,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,=,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,,
4114,48_3188,4,,,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4115,48_3192,4,,,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,,
4116,48_3193,4,,,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4117,48_3199,4,,,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,-,-,-,-,-,41000082,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,,
4118,48_3201,4,,,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,,
4119,48_3211,4,,,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4120,48_3214,4,,,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4121,48_3217,4,,,,,,,,,,,,,,,,,,,-,-,-,=,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,-,!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4122,48_3222,4,,,,,,,,,,,,,,,,,,,-,-,-,=,-,!,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,-,!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4123,48_3223,4,,,,,,,,,,,,,,,,,,,-,-,-,=,-,!,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,-,41000082,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4124,48_3225,4,,,,,,,,,,,,,,,,,,,-,-,-,=,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,-,!,-,-,!,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4125,48_3226,4,,,,,,,,,,,,,,,,,,,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,,
4126,48_3228,4,,,,,,,,,,,,,,,,,,,-,-,-,=,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,-,!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4127,48_3230,4,,,,,,,,,,,,,,,,,,,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,,
4128,48_3233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,=,-,-,-,-,-,-,-,-,-,=,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,,
4129,48_3234,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,=,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,,
4130,48_3238,4,,,,,,,,,,,,,,,,,,,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
